accession,name,description,Study Disease/Focus,Study Design,Study Markerset,Parent study,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms
"phs001178.v1.p1","UCLA/Gabriella Miller Kids First Disorders of Sex Development Study","The Gabriella Miller Kids First Pediatric Research Program (Kids First) is a trans-NIH effort initiated in response to the 2014 Gabriella Miller Kids First Research Act and supported by  the NIH Common Fund. This program focuses on gene discovery in pediatric cancers and structural birth defects and the development of the Gabriella","Disorders of Sex Development","Family/Twin/Trios","WGS_markerset_grc37","Not Applicable","SNP/CNV Genotypes (NGS), WGS","4 phenotype datasets, 20 variables, 1 molecular datasets,  SRA, 300 subjects, 300 samples","","NCI","GRU --- General research use","2019-03-19","2019-03-19","46, XX Testicular DSD; 46, XX Testicular Disorder of Sex Development; 46, XX Testicular Disorders of Sex Development; 46,XX testicular DSD; De la Chapelle syndrome; Reversal, XX Sex"
"phs001179.v1.p1","Foundation Medicine Adult Cancer Clinical Dataset (FM-AD)","The Foundation Medicine adult cancer clinical dataset consists of 18,004 unique solid tumor samples that underwent genomic profiling on a single uniform platform as part of standard clinical care.  The dataset is derived from the FoundationOne genomic profiling assay version 2 that interrogates exonic regions of 287 cancer-related genes and","Neoplasms","Case Set","Not Provided","Not Applicable","Not Provided","2 phenotype datasets, 4 variables,  SRA, 18004 subjects, 18004 samples","","NCI","HMB-PUB --- Health/medical/biomedical (pub)","2017-07-31","2017-07-31","Abdominal Neoplasm; Abdominal Neoplasms; Neoplasm, Abdominal; Neoplasms, Abdominal; Tumor of abdomen; BARD1-Related Susceptibility to Breast Cancer"
"phs001181.v1.p1","Single-Cell DNA and RNA Sequencing over A 29-Year Period of A CLL Patient","Chronic lymphocytic leukemia (CLL) is a frequent B-cell malignancy characterized by recurrent somatic chromosome alterations and a low level of point mutations. Here we present single nucleotide polymorphism (SNP)  microarray analyses of a single CLL patient over 29-years of observation and treatment, and transcriptome and whole genome sequencing at selected","Leukemia, Lymphocytic, Chronic, B-Cell","Case Set","HumanOmniExpress","Not Applicable","SNP Genotypes (Array), RNA-Seq, WGS","4 phenotype datasets, 15 variables, 1 molecular datasets,  SRA, 1 subjects, 16 samples","Other (1)","NCI","DS-CA-MDS --- Disease-specific (cancer, mds)","2017-03-24","2017-03-24","B Cell CLL; B Cell Chronic Lymphocytic Leukemia; B Cell Leukemia, Chronic; B Cell Lymphocytic Leukemia; B Lymphocytic Leukemia, Chronic; B-CLL"
"phs001182.v1.p1","Somatic Mutation Load in Clones of Single Human Cells","Accumulation of genetic changes with time and proliferation of cells is inevitable. We report here the genome-wide magnitude and spectra of mutations accrued in skin fibroblasts over the lifetime  of healthy humans. We found that every cell contains at least one somatic chromosomal rearrangement and 600 - 13,000 base substitutions, similar to","Clonal Evolution","Control Set","Somatic_Mutations","Not Applicable","SNV (.MAF), WGS, WXS","4 phenotype datasets, 21 variables, 1 documents, 1 molecular datasets,  SRA, 2 subjects, 20 samples","","NIEHS","GRU --- General research use","2016-10-27","2016-10-27","Evolution, Clonal; Cell, Clone; Cells, Clone; Clone Cell; Clones; Corium"
"phs001185.v1.p1","Genome-Wide Scan of Early-onset Prostate Cancer","This is a genome-wide association scan of 931 early-onset prostate cancer cases of European ancestry. The samples were selected from prostate cancer studies at the University of Michigan. Controls  were previously genotyped individuals selected from the Cancer Genetics Markers of Susceptibility (CGEMS) and Illumina's iControlDB database.","Prostatic Neoplasms","Case-Control","Human660W-Quad_v1_A","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 14 variables, 1 molecular datasets, 931 subjects, 931 samples","European (930), Other (1)","NCI","DS-CA --- Disease-specific (cancer)","2016-11-03","2016-11-03","NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate"
"phs001187.v1.p1","Epigenomics of Human CD8 T cell Differentiation and Aging","The efficacy of the adaptive immune response declines dramatically with age, but the cell-intrinsic mechanisms driving the changes characteristic of immune aging in humans remain poorly understood. One hallmark  of immune aging is the loss of self-renewing naive cells and the accumulation of differentiated but dysfunctional cells within the CD8 T cell","Aging","Case-Control","Not Provided","Not Applicable","ChIP-Seq, RNA-Seq, Tn-Seq","3 phenotype datasets, 16 variables,  SRA, 23 subjects, 75 samples","","NIAID","GRU-IRB --- General research use (irb)","2017-02-16","2017-10-16","Aging, Biological; Biological Aging; Antigens, Differentiation, T Lymphocyte; Antigens, Differentiation, T-Cell; Antigens, Differentiation, T-Lymphocyte; Antigens, T-Cell Differentiation"
"phs001188.v1.p1","The FUSION Study - Islet Expression and Regulation","We analyzed mRNA extracted from pancreatic islets obtained from 31 deceased donors, along with genome-wide genotypes, and open chromatin information obtained from ATAC-seq experiments on two additional islet samples.  2500-5000 islet equivalents (IEQ) from each islet distribution were harvested for RNA isolation. 500-1000 IEQ were cultured as in Gershengorn","Diabetes Mellitus, Type 2","Control Set","RNAseq_probe_set_grc37, 1000G_ref_panel, HumanOmni2.5-4v1_H","Not Applicable","ATAC-seq, SNP Genotypes (Array), SNP/CNV Genotypes (imputed), QTL Results, RNA-Seq, RNA Seq expression levels","4 phenotype datasets, 28 variables, 1 documents, 2 molecular datasets,  SRA, 33 subjects, 64 samples","","NHGRI","GRU --- General research use","2017-08-09","2017-08-09","Adult-Onset Diabetes; Adult-Onset Diabetes Mellitus; DIABETES MELLITUS, TYPE 2; DIABETES MELLITUS, TYPE 2, PROTECTION AGAINST; DIABETES MELLITUS, TYPE II; DIABETES MELLITUS, TYPE II, SUSCEPTIBILITY TO"
"phs001189.v2.p1","NHLBI TOPMed: Cleveland Clinic Atrial Fibrillation (CCAF) Study","The Cleveland Clinic Atrial Fibrillation Study consists of clinical and genetic data of patients with atrial fibrillation and control cohorts from the Cleveland Clinic CV/Arrhythmia Biobank, including the Cleveland  Clinic Lone Atrial Fibrillation GeneBank. The Cleveland Clinic Lone AF GeneBank Study has enrolled patients with lone AF, defined as AF in the","Atrial fibrillation","Case Set","TOPMed_WGS_grc37, WGS_markerset_grc38","Not Applicable","SNP/CNV Genotypes (NGS), WGS","5 phenotype datasets, 39 variables, 2 documents, 2 molecular datasets,  SRA, 363 subjects, 364 samples","European (359)","NHLBI","GRU-IRB --- General research use (irb)","2019-01-25","2019-01-25","AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations; Fibrillation, Atrial"
"phs001191.v1.p1","NUgene WGS","The NUgene Project is a biorepository with longitudinal medical information from participating patients at Northwestern Medicine affiliated hospitals and outpatient clinics. Participants' DNA samples are coupled with data from  a self-reported questionnaire (2 versions were used, 1 before and 1 after February 2006, both are included) and continuously updated data from our","Healthy Volunteers","Prospective Longitudinal Cohort","Not Provided","Not Applicable","WGS","4 phenotype datasets, 18 variables, 3 documents,  SRA, 900 subjects, 900 samples","","NHGRI","GRU --- General research use","2017-10-03","2017-10-03","Human Volunteer; Human Volunteers; Volunteer, Human; Volunteers, Human"
"phs001192.v1.p1","Thoracic Patient-Derived Xenografts","Targeted capture sequencing of 341 cancer associated genes in thoracic patient-derived xenografts.","Lung Neoplasms","Case Set","Not Provided","Not Applicable","Targeted-Capture","3 phenotype datasets, 19 variables,  SRA, 1 subjects, 4 samples","","NCI","DS-LC-PUB-NPU --- Disease-specific (lung cancer, pub, npu)","2017-04-11","2017-04-11","Lung Tumor; Lung cancer; Neoplasm of Lung; Neoplasm of the Lung; Neoplasm, Lung; Neoplasm, Pulmonary"
"phs001193.v1.p1","Hispanic Colorectal Cancer Study","Genome-wide association studies (GWAS) of colorectal cancer (CRC) have been instrumental in identifying a number of common susceptibility loci in Non Hispanic (NH)-White populations, and a NCI priority is  to extend GWAS findings to other populations to address racial/ethnic disparities in cancer susceptibility. Currently, GWA studies of CRC in NH","Colorectal Neoplasms","Case-Control","HumanOmni2.5-8v1_A","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 17 variables, 7 documents, 1 molecular datasets, 1597 subjects, 1597 samples","European (81), African (1), African American (6), Hispanic1 (20), Hispanic2 (1438), Other Asian or Pacific Islander (10), Other (41)","NCI","GRU --- General research use , DS-CA --- Disease-specific (cancer) , HMB-MDS --- Health/medical/biomedical (mds)","2018-12-27","2018-12-27","CRC; Cancer of Large Bowel; Cancer of Large Intestine; Cancer of the Large Bowel; Cancer of the Large Intestine; Cancer, Colorectal"
"phs001195.v1.p1","A Study to Assess the Cardiovascular, Cognitive, and Subjective Effects    of Atomoxetine in Combination with Intravenous Methamphetamine","The Study to Assess the Cardiovascular, Cognitive, and Subjective Effects of Atomoxetine in Combination with Intravenous Methamphetamine started in 2007 and ended in 2011. It was a small pilot  study that included methamphetamine abusing individuals and healthy control participants aged 18-50 years. Participants who qualified over the","Sex/Gender Identity","Case-Control","Axiom_Smokesc1","Not Applicable","SNP Genotypes (Array)","5 phenotype datasets, 37 variables, 3 documents, 1 molecular datasets, 13 subjects, 13 samples","European (6), East Asian (1), African American (2), Hispanic1 (1), Hispanic2 (2), Other (1)","NIDA","GRU --- General research use","2018-03-29","2018-03-29","Age Groups; Group, Age; Groups, Age; Abuser, Drug; Abusers, Drug; Drug Abuser"
"phs001197.v1.p1","Neural Systems, Inhibitory Control, and Methamphetamine Dependence","The Neural Systems, Inhibitory Control, and Methamphetamine Dependence study started in 2011 and is currently finishing data collection for its last participants. The study included methamphetamine abusing individuals and  healthy control participants aged 18-55 years. Participants who qualified over the telephone were scheduled to visit the London Laboratory at the","Substance-Related Disorders","Case-Control","Axiom_Smokesc1","Not Applicable","SNP Genotypes (Array)","5 phenotype datasets, 37 variables, 1 molecular datasets, 193 subjects, 188 samples","European (63), African (2), East Asian (3), African American (30), Hispanic1 (3), Hispanic2 (69), Other Asian or Pacific Islander (8), South Asian (1), Other (9)","NIDA","GRU --- General research use","2018-05-01","2018-05-01","Ethnic Groups; Ethnic Origin; Ethnic Origins; Ethnic category; Ethnicity; Benzeneethanamine, N,alpha-dimethyl-, (S)-"
"phs001198.v1.p1","Early Methamphetamine Abstinence: fMRI and Brain Function","This study included two groups of subjects, methamphetamine-dependent and healthy control participants, with the purpose of characterizing brain structure and cognition during the first month of abstinence from methamphetamine.  Participants were able to participate in one or both phases of the study. Methamphetamine abusers were held as inpatients and abstained from","Substance-Related Disorders","Case-Control","Axiom_Smokesc1","Not Applicable","SNP Genotypes (Array)","5 phenotype datasets, 38 variables, 1 molecular datasets, 107 subjects, 93 samples","European (45), East Asian (2), African American (10), Hispanic1 (3), Hispanic2 (22), Other Asian or Pacific Islander (3), South Asian (1), Other (7)","NIDA","GRU --- General research use","2018-06-01","2018-06-01","Ethnic Groups; Ethnic Origin; Ethnic Origins; Ethnic category; Ethnicity; Benzeneethanamine, N,alpha-dimethyl-, (S)-"
"phs001199.v1.p1","TIGER-LC OncoVar Sequencing","Intrahepatic cholangiocarcinoma (ICC) and hepatocellular carcinoma (HCC) are clinically disparate primary liver cancers with etiological and biological heterogeneity. We performed targeted sequencing of Thai ICC and HCC among the  Thailand Initiative in Genomics and Expression Research for Liver Cancer (TIGER-LC) cohort using the OncoVar platform.","Carcinoma, Hepatocellular","Case Set","Not Provided","Not Applicable","WXS","4 phenotype datasets, 19 variables,  SRA, 197 subjects, 394 samples","","NCI","GRU --- General research use","2017-07-03","2017-07-03","Adult Liver Cancer; Adult Liver Cancers; Cancer, Adult Liver; Cancers, Adult Liver; Carcinoma of Liver Cells; Carcinoma of the Liver Cells"
"phs001200.v1.p1","Neutralizing Antibodies against West Nile Virus from Human B Cells","West Nile virus (WNV) infection is a mosquito-borne disease that can cause severe neurological illness. We analyzed the humoral response to WNV of subjects infected with WNV at different  stages of the infection and at different levels of detail, from single cells to the repertoire level. We integrated single-cell analysis by","West Nile Fever","Case Set","Not Provided","Not Applicable","AMPLICON","4 phenotype datasets, 18 variables,  SRA, 7 subjects, 26 samples","","NIAID","DS-IR-IRB --- Disease-specific (immunological research, irb)","2017-02-23","2017-02-23","Disease caused by West Nile virus; Infection, WNV; Infections, WNV; WNV Infection; WNV Infections; West Nile Virus Infection"
"phs001201.v2.p1","ASsessing and Predicting Infant RSV Effects and Severity (AsPIRES) Study","A prospective multi-year clinical translational study including three cohorts of term infants experiencing their first Respiratory Syncytial Virus (RSV) season. All infants are less than or equal to nine  months of age at study entry. The three subject cohorts represent the full spectrum of RSV disease severity and include a birth cohort, a cohort of","Respiratory Syncytial Virus Infections","Prospective Longitudinal Cohort","RNAseq_probe_set_grc37","Not Applicable","AMPLICON, RNA-Seq, RNA Seq expression levels","8 phenotype datasets, 133 variables, 1 molecular datasets,  SRA, 186 subjects, 1460 samples","","NIAID","HMB-IRB-NPU --- Health/medical/biomedical (irb, npu)","2019-09-11","2019-09-11","Infections, Respiratory Syncytial Virus; RSV - Respiratory syncytial virus infection; Respiratory Syncytial Virus Infection"
